corpus,record,prefix,k,model,user,both
C1,claude_1723f49c,65,2,False,True,False
C1,claude_1723f49c,90,2,False,True,False
C1,claude_1723f49c,120,2,False,True,False
C1,claude_1723f49c,200,3,True,True,True
C1,claude_1b4f6443,25,2,False,False,False
C1,claude_1b4f6443,35,2,False,False,False
C1,claude_1b4f6443,45,2,False,False,False
C1,claude_1b4f6443,55,2,False,False,False
C1,claude_1b4f6443,65,2,False,False,False
C1,claude_1b4f6443,90,2,False,False,False
C1,claude_1b4f6443,120,2,False,False,False
C1,claude_1b4f6443,200,3,True,True,True
C1,claude_1b4f6443,400,4,True,True,True
C1,claude_1bfa9360,25,2,False,False,False
C1,claude_1bfa9360,35,2,False,False,False
C1,claude_1bfa9360,45,2,False,False,False
C1,claude_1bfa9360,55,2,False,False,False
C1,claude_1bfa9360,65,2,True,False,False
C1,claude_1bfa9360,90,2,True,True,True
C1,claude_1d2e0d47,25,2,False,False,False
C1,claude_1d2e0d47,35,2,False,True,False
C1,claude_1d2e0d47,45,2,True,True,True
C1,claude_1d2e0d47,55,2,True,False,False
C1,claude_1d2e0d47,65,2,True,False,False
C1,claude_1d2e0d47,90,2,False,False,False
C1,claude_1d2e0d47,120,2,False,False,False
C1,claude_1d2e0d47,200,3,True,True,True
C1,claude_2de077fa,25,2,False,False,False
C1,claude_2de077fa,35,2,False,False,False
C1,claude_2de077fa,45,2,False,False,False
C1,claude_2de077fa,55,2,True,False,False
C1,claude_2de077fa,65,2,False,False,False
C1,claude_2de077fa,90,2,False,False,False
C1,claude_2f7649f8,25,2,False,False,False
C1,claude_2f7649f8,35,2,False,False,False
C1,claude_2f7649f8,45,2,False,False,False
C1,claude_2f7649f8,55,2,False,False,False
C1,claude_2f7649f8,65,2,False,True,False
C1,claude_2f7649f8,90,2,False,False,False
C1,claude_2f7649f8,120,2,False,True,False
C1,claude_2f7649f8,200,3,True,True,True
C1,claude_3d1a92f5,25,2,False,False,False
C1,claude_3d1a92f5,35,2,False,True,False
C1,claude_3d1a92f5,45,2,False,False,False
C1,claude_3d1a92f5,55,2,False,True,False
C1,claude_3d1a92f5,65,2,False,False,False
C1,claude_3d1a92f5,90,2,True,True,True
C1,claude_3df4ba21,25,2,False,False,False
C1,claude_3df4ba21,35,2,False,False,False
C1,claude_3df4ba21,45,2,True,True,True
C1,claude_3df4ba21,55,2,True,True,True
C1,claude_3df4ba21,65,2,True,True,True
C1,claude_3df4ba21,90,2,True,True,True
C1,claude_3df4ba21,120,2,False,False,False
C1,claude_3df4ba21,200,3,True,True,True
C1,claude_3df4ba21,400,4,True,True,True
C1,claude_4704f1be,25,2,True,False,False
C1,claude_4704f1be,35,2,True,True,True
C1,claude_4704f1be,45,2,False,False,False
C1,claude_4704f1be,55,2,False,True,False
C1,claude_4704f1be,65,2,False,True,False
C1,claude_4b5ee541,25,2,False,False,False
C1,claude_5742c38f,25,2,False,False,False
C1,claude_5742c38f,35,2,False,False,False
C1,claude_5742c38f,45,2,False,False,False
C1,claude_5742c38f,55,2,False,False,False
C1,claude_5742c38f,65,2,False,True,False
C1,claude_58a2d3d5,25,2,False,False,False
C1,claude_58a2d3d5,35,2,False,False,False
C1,claude_58a2d3d5,45,2,False,False,False
C1,claude_58a2d3d5,55,2,False,True,False
C1,claude_58a2d3d5,65,2,False,True,False
C1,claude_58a2d3d5,90,2,False,True,False
C1,claude_5aa7542e,25,2,False,False,False
C1,claude_5aa7542e,35,2,True,False,False
C1,claude_5aa7542e,45,2,False,False,False
C1,claude_5aa7542e,55,2,False,False,False
C1,claude_5aa7542e,65,2,True,False,False
C1,claude_5aa7542e,90,2,True,False,False
C1,claude_5aa7542e,120,2,True,False,False
C1,claude_5aa7542e,200,3,True,True,True
C1,claude_5bf93859,25,2,False,False,False
C1,claude_5bf93859,35,2,False,True,False
C1,claude_5eae3fed,25,2,False,False,False
C1,claude_5eae3fed,35,2,False,False,False
C1,claude_5eae3fed,45,2,False,False,False
C1,claude_5eae3fed,55,2,False,False,False
C1,claude_5eae3fed,65,2,False,False,False
C1,claude_5eae3fed,90,2,False,True,False
C1,claude_5eae3fed,120,2,False,True,False
C1,claude_5eae3fed,200,3,False,True,False
C1,claude_5f70ab01,25,2,False,False,False
C1,claude_5f70ab01,35,2,False,False,False
C1,claude_5f70ab01,45,2,False,False,False
C1,claude_5f70ab01,55,2,True,False,False
C1,claude_5f70ab01,65,2,False,False,False
C1,claude_5f70ab01,90,2,True,True,True
C1,claude_5f70ab01,120,2,True,True,True
C1,claude_671aa314,25,2,False,False,False
C1,claude_671aa314,35,2,False,False,False
C1,claude_671aa314,45,2,False,True,False
C1,claude_671aa314,55,2,False,True,False
C1,claude_671aa314,65,2,True,False,False
C1,claude_671aa314,90,2,True,False,False
C1,claude_671aa314,120,2,True,False,False
C1,claude_671aa314,200,3,True,True,True
C1,claude_671aa314,400,4,True,True,True
C1,claude_7237eb7d,25,2,False,True,False
C1,claude_7237eb7d,35,2,False,True,False
C1,claude_7237eb7d,45,2,False,True,False
C1,claude_7237eb7d,55,2,False,True,False
C1,claude_7237eb7d,65,2,False,True,False
C1,claude_81982bfd,25,2,False,False,False
C1,claude_81982bfd,35,2,False,True,False
C1,claude_81982bfd,45,2,False,True,False
C1,claude_81982bfd,55,2,False,True,False
C1,claude_81982bfd,65,2,False,True,False
C1,claude_81982bfd,90,2,False,True,False
C1,claude_81982bfd,120,2,True,True,True
C1,claude_861911ee,25,2,False,False,False
C1,claude_861911ee,35,2,False,False,False
C1,claude_861911ee,45,2,False,True,False
C1,claude_861911ee,55,2,False,False,False
C1,claude_861911ee,65,2,False,False,False
C1,claude_861911ee,90,2,False,True,False
C1,claude_861911ee,120,2,False,False,False
C1,claude_8cefedb9,25,2,False,False,False
C1,claude_8d01eef3,25,2,False,False,False
C1,claude_8d01eef3,35,2,True,False,False
C1,claude_8d01eef3,45,2,False,True,False
C1,claude_8d01eef3,55,2,False,True,False
C1,claude_8d01eef3,65,2,False,True,False
C1,claude_8d01eef3,90,2,False,True,False
C1,claude_8d01eef3,120,2,False,False,False
C1,claude_8d01eef3,200,3,True,True,True
C1,claude_8f7fe558,25,2,False,False,False
C1,claude_8f7fe558,35,2,False,False,False
C1,claude_8f7fe558,45,2,True,False,False
C1,claude_8f7fe558,55,2,False,True,False
C1,claude_8f7fe558,65,2,True,True,True
C1,claude_8f7fe558,90,2,True,True,True
C1,claude_8f7fe558,120,2,True,False,False
C1,claude_8f7fe558,200,3,True,True,True
C1,claude_8f7fe558,400,4,True,True,True
C1,claude_90b6161d,25,2,False,True,False
C1,claude_90b6161d,35,2,True,False,False
C1,claude_90b6161d,45,2,True,False,False
C1,claude_90b6161d,55,2,True,False,False
C1,claude_90b6161d,65,2,True,True,True
C1,claude_90b6161d,90,2,True,False,False
C1,claude_90b6161d,120,2,False,False,False
C1,claude_90b6161d,200,3,True,True,True
C1,claude_90b6161d,400,4,True,True,True
C1,claude_9c24efbd,25,2,False,False,False
C1,claude_9c24efbd,35,2,False,False,False
C1,claude_9c24efbd,45,2,False,True,False
C1,claude_9c24efbd,55,2,False,True,False
C1,claude_9c24efbd,65,2,True,True,True
C1,claude_9c24efbd,90,2,True,True,True
C1,claude_9c24efbd,120,2,False,False,False
C1,claude_9c24efbd,200,3,True,True,True
C1,claude_9c24efbd,400,4,True,True,True
C1,claude_b5123bc7,25,2,False,False,False
C1,claude_b5123bc7,35,2,False,False,False
C1,claude_b5123bc7,45,2,False,True,False
C1,claude_b5123bc7,55,2,False,True,False
C1,claude_b5123bc7,65,2,True,True,True
C1,claude_b5123bc7,90,2,True,True,True
C1,claude_b5123bc7,120,2,True,True,True
C1,claude_b5123bc7,200,3,True,True,True
C1,claude_b5123bc7,400,4,True,True,True
C1,claude_bea0ac10,25,2,False,False,False
C1,claude_bea0ac10,35,2,False,True,False
C1,claude_bea0ac10,45,2,False,False,False
C1,claude_bea0ac10,55,2,False,False,False
C1,claude_bea0ac10,65,2,False,True,False
C1,claude_bea0ac10,90,2,True,False,False
C1,claude_bea0ac10,120,2,True,True,True
C1,claude_bea0ac10,200,3,True,True,True
C1,claude_bea0ac10,400,4,True,True,True
C1,claude_cb2d2a0d,25,2,False,False,False
C1,claude_cf7bd491,25,2,False,False,False
C1,claude_cf7bd491,35,2,False,False,False
C1,claude_cf7bd491,45,2,False,False,False
C1,claude_cf7bd491,55,2,False,True,False
C1,claude_cf7bd491,65,2,False,True,False
C1,claude_cf7bd491,90,2,False,True,False
C1,claude_cf7bd491,120,2,False,True,False
C1,claude_cf7bd491,200,3,False,True,False
C1,claude_d1affe8e,25,2,True,False,False
C1,claude_d1affe8e,35,2,False,False,False
C1,claude_e71d7272,25,2,False,False,False
C1,claude_e71d7272,35,2,True,False,False
C1,claude_e71d7272,45,2,False,False,False
C1,claude_e71d7272,55,2,False,False,False
C1,claude_e71d7272,65,2,False,False,False
C1,claude_e71d7272,90,2,False,False,False
C1,claude_e71d7272,120,2,True,False,False
C1,claude_e71d7272,200,3,True,True,True
C1,claude_e71d7272,400,4,True,True,True
C1,claude_ef2e1577,25,2,False,False,False
C1,claude_ef2e1577,35,2,True,True,True
C1,claude_ef2e1577,45,2,False,True,False
C1,claude_ef2e1577,55,2,True,True,True
C1,claude_f4fdb20c,25,2,True,False,False
C1,claude_f4fdb20c,35,2,False,False,False
C1,claude_f4fdb20c,45,2,False,False,False
C1,claude_f4fdb20c,55,2,True,False,False
C1,claude_f4fdb20c,65,2,True,False,False
C1,claude_f4fdb20c,90,2,False,True,False
C1,claude_f4fdb20c,120,2,False,True,False
C1,claude_f662847a,25,2,False,False,False
C1,claude_f662847a,35,2,False,False,False
C1,claude_f662847a,45,2,False,False,False
C1,claude_f662847a,55,2,False,True,False
C1,claude_f662847a,65,2,True,False,False
C1,claude_f662847a,90,2,False,False,False
C1,claude_f662847a,120,2,False,True,False
C1,claude_f697cd0a,25,2,False,False,False
C1,claude_f697cd0a,35,2,False,False,False
C1,claude_f697cd0a,45,2,False,False,False
C1,claude_f697cd0a,55,2,True,True,True
C1,claude_f697cd0a,65,2,True,True,True
C1,claude_f697cd0a,90,2,False,True,False
C1,claude_f697cd0a,120,2,False,True,False
C1,claude_f6c4951c,25,2,False,False,False
C1,claude_f6c4951c,35,2,False,True,False
C1,claude_f6c4951c,45,2,False,True,False
C1,claude_f6c4951c,55,2,False,False,False
C1,claude_f6c4951c,65,2,True,True,True
C1,claude_f77dc52f,25,2,False,False,False
C1,claude_f77dc52f,35,2,False,False,False
C1,claude_f9458668,25,2,False,False,False
C1,claude_f9458668,35,2,False,False,False
C1,claude_f9458668,45,2,False,False,False
C1,claude_f9458668,55,2,False,True,False
C1,claude_f9458668,65,2,False,False,False
C1,claude_f9458668,90,2,False,False,False
C1,claude_f9458668,120,2,False,True,False
C1,claude_f9458668,200,3,True,True,True
C1,claude_fc552e23,25,2,False,False,False
C1,claude_fc552e23,35,2,True,True,True
C1,claude_fc552e23,45,2,True,True,True
C1,claude_fc552e23,55,2,True,False,False
C1,claude_fc552e23,65,2,True,True,True
C1,claude_fc552e23,90,2,True,False,False
C1,claude_fc552e23,120,2,True,True,True
C1,claude_fc552e23,200,3,False,False,False
C1,claude_fd1ecb17,25,2,False,False,False
C1,claude_fd1ecb17,35,2,False,False,False
C1,claude_fd1ecb17,45,2,False,True,False
C1,claude_fd1ecb17,55,2,False,False,False
C1,claude_fd1ecb17,65,2,False,False,False
C1,claude_fd1ecb17,90,2,False,False,False
C1,claude_fd1ecb17,120,2,False,False,False
C1,gemini_23f0e0bc,25,2,False,False,False
C1,gemini_23f0e0bc,35,2,False,False,False
C1,gemini_23f0e0bc,45,2,False,False,False
C1,gemini_23f0e0bc,55,2,False,True,False
C1,gemini_23f0e0bc,65,2,False,True,False
C1,gemini_23f0e0bc,90,2,False,False,False
C1,gemini_23f0e0bc,120,2,True,False,False
C1,gemini_23f0e0bc,200,3,True,True,True
C1,gemini_2f973dfd,25,2,False,False,False
C1,gemini_33a87c65,25,2,False,False,False
C1,gemini_33a87c65,35,2,False,False,False
C1,gemini_33a87c65,45,2,False,True,False
C1,gemini_33a87c65,55,2,False,True,False
C1,gemini_33a87c65,65,2,True,True,True
C1,gemini_33a87c65,90,2,True,True,True
C1,gemini_33a87c65,120,2,True,True,True
C1,gemini_57b0a646,25,2,False,False,False
C1,gemini_57b0a646,35,2,False,False,False
C1,gemini_57b0a646,45,2,False,False,False
C1,gemini_57b0a646,55,2,False,False,False
C1,gemini_57b0a646,65,2,False,False,False
C1,gemini_57b0a646,90,2,False,False,False
C1,gemini_57b0a646,120,2,True,True,True
C1,gemini_57b0a646,200,3,True,True,True
C1,gemini_67637970,25,2,False,False,False
C1,gemini_780a6eb5,25,2,False,False,False
C1,gemini_780a6eb5,35,2,False,False,False
C1,gemini_780a6eb5,45,2,False,False,False
C1,gemini_80e14451,25,2,False,False,False
C1,gemini_af10f570,25,2,False,False,False
C1,gemini_af10f570,35,2,False,False,False
C1,gemini_f628cfb3,25,2,False,False,False
C1,gemini_fb457eeb,25,2,False,False,False
C1,gemini_fb457eeb,35,2,False,False,False
C3,0_550_1442_22,25,2,False,False,False
C3,1002_257_921_53,25,2,False,False,False
C3,1004_807_419_53,25,2,False,False,False
C3,1005_285_179_32,25,2,False,True,False
C3,1005_285_179_32,35,2,False,True,False
C3,1006_419_221_32,25,2,False,True,False
C3,1007_419_420_14,25,2,False,False,False
C3,1008_408_420_38,25,2,True,False,False
C3,1009_919_627_37,25,2,True,False,False
C3,100_1109_1110_38,25,2,False,True,False
C3,100_1109_1110_38,35,2,False,True,False
C3,1010_284_285_35,25,2,True,False,False
C3,1012_363_1463_24,25,2,False,False,False
C3,1013_627_284_51,25,2,False,True,False
C3,1014_331_332_30,25,2,False,True,False
C3,1014_331_332_30,35,2,False,False,False
C3,1015_681_682_10,25,2,True,False,False
C3,1017_364_773_45,25,2,False,False,False
C3,1018_92_93_1,25,2,False,False,False
C3,1019_975_976_37,25,2,True,False,False
C3,1020_929_263_37,25,2,False,False,False
C3,1021_929_1271_22,25,2,False,True,False
C3,1022_420_238_30,25,2,False,False,False
C3,1023_681_929_30,25,2,False,False,False
C3,1024_733_734_12,25,2,False,False,False
C3,1025_929_40_7,25,2,True,False,False
C3,1026_681_1333_7,25,2,True,False,False
C3,1027_382_1418_7,25,2,False,False,False
C3,102_506_1506_38,25,2,False,False,False
C3,1030_696_1333_18,25,2,True,False,False
C3,1030_696_1333_18,35,2,True,False,False
C3,1031_733_89_42,25,2,False,False,False
C3,1032_906_994_42,25,2,False,False,False
C3,1033_760_443_32,25,2,False,False,False
C3,1034_34_245_0,25,2,True,False,False
C3,1035_733_760_32,25,2,False,True,False
C3,1036_1337_712_23,25,2,False,True,False
C3,1036_1337_712_23,35,2,False,False,False
C3,1037_130_813_19,25,2,False,False,False
C3,1038_681_733_23,25,2,False,True,False
C3,1039_977_1121_23,25,2,False,False,False
C3,103_752_280_46,25,2,False,True,False
C3,1040_902_903_35,25,2,False,False,False
C3,1041_101_803_53,25,2,False,True,False
C3,1042_233_1333_13,25,2,True,False,False
C3,1044_602_1242_19,25,2,False,True,False
C3,1044_602_1242_19,35,2,False,True,False
C3,1045_444_723_32,25,2,False,False,False
C3,1046_529_362_32,25,2,False,False,False
C3,1046_529_362_32,35,2,False,False,False
C3,1047_990_1410_0,25,2,False,False,False
C3,1047_990_1410_0,35,2,False,False,False
C3,1048_2_3_35,25,2,False,True,False
C3,1049_858_285_18,25,2,False,False,False
C3,104_979_1402_40,25,2,False,False,False
C3,1050_1098_1126_59,25,2,True,False,False
C3,1051_902_578_23,25,2,False,False,False
C3,1052_2_261_23,25,2,False,False,False
C3,1053_1098_245_23,25,2,False,False,False
C3,1054_578_1237_23,25,2,False,False,False
C3,1054_578_1237_23,35,2,False,False,False
C3,1056_578_579_32,25,2,True,False,False
C3,1057_1007_128_32,25,2,False,False,False
C3,1058_261_578_46,25,2,False,False,False
C3,1059_1007_393_32,25,2,True,False,False
C3,105_734_1039_37,25,2,False,False,False
C3,105_734_1039_37,35,2,False,False,False
C3,1060_719_720_19,25,2,False,False,False
C3,1061_1016_789_32,25,2,False,False,False
C3,1063_664_1042_31,25,2,False,False,False
C3,1064_723_144_0,25,2,False,False,False
C3,1065_720_1042_19,25,2,False,False,False
C3,1065_720_1042_19,35,2,True,False,False
C3,1066_1007_318_50,25,2,False,True,False
C3,1067_173_1337_31,25,2,False,False,False
C3,1067_173_1337_31,35,2,True,True,True
C3,1068_483_764_31,25,2,False,False,False
C3,1069_1007_1042_6,25,2,True,False,False
C3,106_733_1204_7,25,2,True,False,False
C3,106_733_1204_7,35,2,True,False,False
C3,1070_1505_321_28,25,2,False,True,False
C3,1071_529_144_23,25,2,False,False,False
C3,1072_1007_1016_28,25,2,False,False,False
C3,1073_720_332_31,25,2,False,True,False
C3,1074_546_1522_28,25,2,True,False,False
C3,1074_546_1522_28,35,2,False,False,False
C3,1075_621_622_5,25,2,False,False,False
C3,1075_621_622_5,35,2,False,False,False
C3,1076_359_360_5,25,2,False,False,False
C3,1077_749_1126_35,25,2,True,False,False
C3,1078_1016_902_5,25,2,False,False,False
C3,1079_720_902_53,25,2,True,False,False
C3,107_1094_848_12,25,2,False,False,False
C3,1080_905_1319_54,25,2,False,False,False
C3,1083_584_588_24,25,2,False,True,False
C3,1086_686_543_53,25,2,True,False,False
C3,1087_773_392_37,25,2,False,False,False
C3,1089_788_789_9,25,2,False,False,False
C3,1089_788_789_9,35,2,False,True,False
C3,108_503_1310_12,25,2,True,False,False
C3,1090_1036_456_9,25,2,False,False,False
C3,1092_241_1036_37,25,2,False,True,False
C3,1093_1141_953_7,25,2,False,True,False
C3,1094_242_686_16,25,2,True,True,True
C3,1095_616_312_16,25,2,False,False,False
C3,1096_241_457_5,25,2,False,False,False
C3,1096_241_457_5,35,2,False,True,False
C3,1097_773_391_9,25,2,False,True,False
C3,1098_186_187_9,25,2,False,False,False
C3,1099_65_1141_55,25,2,True,False,False
C3,109_1264_533_35,25,2,False,False,False
C3,10_703_680_3,25,2,True,False,False
C3,1100_953_616_9,25,2,False,False,False
C3,1101_242_1141_23,25,2,False,False,False
C3,1102_391_559_60,25,2,False,True,False
C3,1103_241_987_23,25,2,False,False,False
C3,1104_186_953_45,25,2,True,False,False
C3,1104_186_953_45,35,2,False,False,False
C3,1105_187_616_9,25,2,False,True,False
C3,1107_242_391_5,25,2,False,False,False
C3,1108_605_616_42,25,2,True,False,False
C3,1109_187_241_50,25,2,True,False,False
C3,110_202_203_4,25,2,True,False,False
C3,110_202_203_4,35,2,True,False,False
C3,1110_1030_1231_24,25,2,False,True,False
C3,1111_271_272_25,25,2,False,False,False
C3,1112_616_617_24,25,2,False,True,False
C3,1113_953_391_24,25,2,False,False,False
C3,1114_187_164_24,25,2,False,True,False
C3,1115_1412_489_24,25,2,False,False,False
C3,1115_1412_489_24,35,2,True,False,False
C3,1116_782_980_40,25,2,False,False,False
C3,1117_271_509_24,25,2,False,False,False
C3,1117_271_509_24,35,2,False,True,False
C3,1118_272_40_24,25,2,False,True,False
C3,1119_953_187_40,25,2,False,True,False
C3,111_764_929_4,25,2,False,False,False
C3,1120_683_1254_0,25,2,False,True,False
C3,1121_782_509_0,25,2,True,False,False
C3,1122_783_488_12,25,2,True,False,False
C3,1124_271_617_30,25,2,True,True,True
C3,1127_220_221_35,25,2,True,False,False
C3,1128_1253_1026_29,25,2,False,True,False
C3,1129_398_399_29,25,2,True,False,False
C3,112_373_758_38,25,2,False,False,False
C3,1130_260_1040_20,25,2,False,True,False
C3,1131_489_92_12,25,2,False,False,False
C3,1132_227_228_12,25,2,False,False,False
C3,1132_227_228_12,35,2,False,False,False
C3,1134_1040_489_9,25,2,False,False,False
C3,1135_0_1_8,25,2,False,False,False
C3,1136_994_303_39,25,2,False,True,False
C3,1137_900_1032_39,25,2,False,True,False
C3,1137_900_1032_39,35,2,False,True,False
C3,1138_488_489_33,25,2,False,False,False
C3,1139_1483_934_55,25,2,True,False,False
C3,1139_1483_934_55,35,2,True,False,False
C3,1140_319_303_30,25,2,False,True,False
C3,1141_848_303_59,25,2,False,True,False
C3,1142_934_617_30,25,2,True,False,False
C3,1143_303_0_44,25,2,False,True,False
C3,1144_994_617_55,25,2,True,False,False
C3,1145_303_934_9,25,2,False,True,False
C3,1146_848_668_30,25,2,False,False,False
C3,1147_934_363_1,25,2,False,False,False
C3,1147_934_363_1,35,2,False,True,False
C3,1148_994_668_5,25,2,False,False,False
C3,1149_9_1548_7,25,2,False,True,False
C3,114_1094_373_6,25,2,False,False,False
C3,114_1094_373_6,35,2,False,False,False
C3,1150_734_492_42,25,2,False,False,False
C3,1150_734_492_42,35,2,False,False,False
C3,1151_363_488_58,25,2,False,False,False
C3,1153_934_639_52,25,2,False,True,False
C3,1154_363_364_52,25,2,False,False,False
C3,1155_1512_1513_2,25,2,False,False,False
C3,1157_311_668_39,25,2,False,False,False
C3,1158_637_777_39,25,2,False,True,False
C3,1159_291_1237_35,25,2,False,True,False
C3,115_831_581_22,25,2,False,False,False
C3,115_831_581_22,35,2,False,False,False
C3,1160_119_539_57,25,2,False,True,False
C3,1160_119_539_57,35,2,False,True,False
C3,1161_976_1039_30,25,2,False,False,False
C3,1162_119_291_30,25,2,True,False,False
C3,1162_119_291_30,35,2,True,False,False
C3,1163_515_1074_35,25,2,False,False,False
C3,1163_515_1074_35,35,2,True,False,False
C3,1164_119_646_35,25,2,False,False,False
C3,1164_119_646_35,35,2,True,False,False
C3,1165_267_119_42,25,2,True,True,True
C3,1166_251_407_29,25,2,False,False,False
C3,1169_1218_69_28,25,2,False,True,False
C3,116_533_373_38,25,2,True,False,False
C3,116_533_373_38,35,2,False,False,False
C3,1170_1218_342_19,25,2,False,True,False
C3,1171_224_246_58,25,2,False,False,False
C3,1172_906_1218_0,25,2,False,False,False
C3,1173_342_1016_58,25,2,False,False,False
C3,1174_867_377_0,25,2,True,False,False
C3,1175_352_1375_55,25,2,False,True,False
C3,1176_1218_659_0,25,2,False,True,False
C3,1177_69_280_19,25,2,False,False,False
C3,1177_69_280_19,35,2,False,True,False
C3,1178_246_1030_0,25,2,False,True,False
C3,117_854_3_38,25,2,False,False,False
C3,117_854_3_38,35,2,True,True,True
C3,1181_69_377_47,25,2,False,True,False
C3,1182_3_130_23,25,2,True,False,False
C3,1183_787_1097_23,25,2,False,False,False
C3,1184_20_840_18,25,2,False,True,False
C3,1185_839_1420_3,25,2,False,True,False
C3,1186_245_246_51,25,2,False,False,False
C3,1189_3_522_14,25,2,False,True,False
C3,118_854_533_58,25,2,False,False,False
C3,118_854_533_58,35,2,False,True,False
C3,1191_3_579_14,25,2,False,True,False
C3,1192_991_839_20,25,2,False,True,False
C3,1193_69_867_23,25,2,True,False,False
C3,1194_110_1192_23,25,2,False,False,False
C3,1194_110_1192_23,35,2,False,False,False
C3,1195_21_1400_36,25,2,False,False,False
C3,1196_442_1178_56,25,2,True,False,False
C3,1197_527_1091_56,25,2,False,True,False
C3,1199_867_291_23,25,2,False,False,False
C3,119_1300_1140_58,25,2,False,True,False
C3,119_1300_1140_58,35,2,False,False,False
C3,11_219_1058_33,25,2,False,True,False
C3,1200_1337_1317_0,25,2,False,False,False
C3,1200_1337_1317_0,35,2,True,False,False
C3,1201_1052_1053_53,25,2,False,False,False
C3,1202_405_21_0,25,2,False,False,False
C3,1204_688_689_14,25,2,False,True,False
C3,1205_1317_21_53,25,2,True,True,True
C3,1205_1317_21_53,35,2,False,True,False
C3,1206_130_51_23,25,2,False,False,False
C3,1206_130_51_23,35,2,False,True,False
C3,1207_991_442_56,25,2,False,False,False
C3,1207_991_442_56,35,2,False,False,False
C3,1208_1081_837_56,25,2,False,False,False
C3,1209_1286_449_34,25,2,False,False,False
C3,120_1079_695_58,25,2,False,False,False
C3,1210_127_128_58,25,2,False,False,False
C3,1211_436_1283_58,25,2,False,False,False
C3,1213_1317_449_10,25,2,False,True,False
C3,1213_1317_449_10,35,2,True,True,True
C3,1214_216_528_10,25,2,False,False,False
C3,1215_991_128_10,25,2,False,False,False
C3,1215_991_128_10,35,2,True,False,False
C3,1216_159_130_40,25,2,False,False,False
C3,1216_159_130_40,35,2,False,False,False
C3,1217_143_144_15,25,2,False,True,False
C3,1218_226_742_7,25,2,False,False,False
C3,1218_226_742_7,35,2,True,True,True
C3,1219_529_20_33,25,2,False,True,False
C3,1221_216_217_53,25,2,True,False,False
C3,1222_20_21_53,25,2,False,False,False
C3,1223_741_742_59,25,2,True,False,False
C3,1224_85_130_19,25,2,False,False,False
C3,1225_1370_217_17,25,2,False,False,False
C3,1226_20_436_10,25,2,False,True,False
C3,1228_1134_1545_46,25,2,False,False,False
C3,1228_1134_1545_46,35,2,False,False,False
C3,1229_217_20_54,25,2,False,False,False
C3,122_1438_884_20,25,2,False,False,False
C3,1230_557_1247_42,25,2,False,False,False
C3,1232_442_1134_10,25,2,False,False,False
C3,1233_1346_1549_46,25,2,True,False,False
C3,1234_589_896_5,25,2,False,True,False
C3,1235_557_742_48,25,2,True,False,False
C3,1235_557_742_48,35,2,True,False,False
C3,1236_556_636_56,25,2,False,True,False
C3,1237_709_1134_46,25,2,True,True,True
C3,1238_556_557_25,25,2,False,False,False
C3,123_1117_723_52,25,2,False,False,False
C3,1240_14_15_25,25,2,False,False,False
C3,1242_37_38_36,25,2,False,True,False
C3,1243_556_1370_36,25,2,True,False,False
C3,1244_769_770_36,25,2,False,False,False
C3,1244_769_770_36,35,2,False,False,False
C3,1246_1134_38_34,25,2,False,False,False
C3,1247_564_1234_34,25,2,False,False,False
C3,1248_557_482_36,25,2,False,False,False
C3,1248_557_482_36,35,2,False,False,False
C3,1249_556_678_34,25,2,False,False,False
C3,124_86_87_13,25,2,False,False,False
C3,1250_1134_896_34,25,2,False,True,False
