game,msgs_raw,msgs_nosel,rounds,score,score_anomaly,utterances,pairs,unpaired,first_speaker,drop_reason,kept
1048_2_3_35,119,88,5,30,False,63,31,1,2,,True
1049_858_285_18,110,80,5,30,False,66,33,0,858,,True
104_979_1402_40,118,88,5,28,False,64,32,0,979,,True
1050_1098_1126_59,112,80,5,29,False,56,28,0,1126,,True
1051_902_578_23,118,88,5,28,False,56,28,0,578,,True
1052_2_261_23,106,76,5,30,False,52,26,0,2,,True
1053_1098_245_23,113,83,5,27,False,56,28,0,245,,True
1054_578_1237_23,145,114,5,28,False,74,37,0,1237,,True
1055_404_405_51,105,73,5,28,False,48,24,0,404,below_floor,False
1056_578_579_32,115,81,5,28,False,58,29,0,578,,True
1057_1007_128_32,115,85,5,30,False,56,28,0,1007,,True
1058_261_578_46,129,96,5,30,False,63,31,1,261,,True
1059_1007_393_32,120,88,5,30,False,60,30,0,1007,,True
105_734_1039_37,159,128,5,30,False,88,44,0,1039,,True
1060_719_720_19,111,81,5,29,False,62,31,0,719,,True
1061_1016_789_32,117,85,5,28,False,51,25,1,1016,,True
1062_483_173_17,99,69,5,30,False,42,21,0,483,below_floor,False
1063_664_1042_31,119,89,5,29,False,68,34,0,1042,,True
1064_723_144_0,94,64,5,29,False,52,26,0,723,,True
1065_720_1042_19,113,83,5,30,False,70,35,0,1042,,True
1066_1007_318_50,113,83,5,30,False,66,33,0,1007,,True
1067_173_1337_31,136,102,5,29,False,76,38,0,173,,True
1068_483_764_31,109,79,5,29,False,52,26,0,483,,True
1069_1007_1042_6,113,83,5,30,False,63,31,1,1007,,True
106_733_1204_7,134,104,5,29,False,73,36,1,1204,,True
1070_1505_321_28,110,77,5,28,False,58,29,0,1505,,True
1071_529_144_23,110,80,5,27,False,68,34,0,144,,True
1072_1007_1016_28,111,80,5,30,False,53,26,1,1016,,True
1073_720_332_31,105,75,5,30,False,58,29,0,332,,True
1074_546_1522_28,137,107,5,29,False,76,38,0,546,,True
1075_621_622_5,138,106,5,30,False,79,39,1,621,,True
1076_359_360_5,98,68,5,28,False,53,26,1,359,,True
1077_749_1126_35,126,93,5,30,False,58,29,0,1126,,True
1078_1016_902_5,114,84,5,28,False,54,27,0,1016,,True
1079_720_902_53,110,79,5,30,False,56,28,0,902,,True
107_1094_848_12,117,86,5,30,False,50,25,0,848,,True
1080_905_1319_54,106,75,5,30,False,53,26,1,905,,True
1081_789_1036_17,119,88,5,26,False,48,24,0,789,below_floor,False
1082_284_392_30,111,78,5,30,False,49,24,1,284,below_floor,False
1083_584_588_24,113,82,5,30,False,54,27,0,584,,True
1084_392_789_24,95,65,5,30,False,43,21,1,789,below_floor,False
1085_284_1036_24,104,73,5,29,False,46,23,0,284,below_floor,False
1086_686_543_53,98,68,5,28,False,58,29,0,686,,True
1087_773_392_37,110,79,5,29,False,58,29,0,392,,True
1088_241_242_37,98,64,5,26,False,45,22,1,241,below_floor,False
1089_788_789_9,141,108,5,29,False,70,35,0,789,,True
108_503_1310_12,129,95,5,28,False,61,30,1,1310,,True
1090_1036_456_9,107,77,5,30,False,50,25,0,456,,True
1091_686_789_16,110,71,5,29,False,46,23,0,789,below_floor,False
1092_241_1036_37,112,81,5,28,False,56,28,0,1036,,True
1093_1141_953_7,103,73,5,30,False,50,25,0,953,,True
1094_242_686_16,105,74,5,28,False,57,28,1,242,,True
1095_616_312_16,114,84,5,25,False,65,32,1,312,,True
1096_241_457_5,123,93,5,29,False,72,36,0,457,,True
1097_773_391_9,110,79,5,30,False,51,25,1,773,,True
1098_186_187_9,112,82,5,30,False,52,26,0,187,,True
1099_65_1141_55,101,71,5,27,False,53,26,1,1141,,True
109_1264_533_35,109,78,5,28,False,60,30,0,1264,,True
10_703_680_3,105,75,5,30,False,54,27,0,703,,True
1100_953_616_9,120,89,5,28,False,64,32,0,616,,True
1101_242_1141_23,111,78,5,28,False,61,30,1,242,,True
1102_391_559_60,113,81,5,28,False,56,28,0,559,,True
1103_241_987_23,110,80,5,30,False,59,29,1,987,,True
1104_186_953_45,143,113,5,29,False,74,37,0,953,,True
1105_187_616_9,116,84,5,28,False,56,28,0,616,,True
1106_1141_559_8,100,69,5,29,False,44,22,0,559,below_floor,False
1107_242_391_5,117,83,5,26,False,54,27,0,242,,True
1108_605_616_42,108,75,5,28,False,50,25,0,605,,True
1109_187_241_50,120,88,5,29,False,63,31,1,241,,True
110_202_203_4,135,104,5,30,False,77,38,1,203,,True
1110_1030_1231_24,117,87,5,27,False,60,30,0,1231,,True
1111_271_272_25,113,81,5,27,False,57,28,1,271,,True
1112_616_617_24,106,70,5,23,False,51,25,1,616,,True
1113_953_391_24,116,83,5,30,False,53,26,1,953,,True
1114_187_164_24,115,85,5,30,False,56,28,0,187,,True
1115_1412_489_24,154,121,5,28,False,94,47,0,1412,,True
1116_782_980_40,111,81,5,26,False,62,31,0,980,,True
1117_271_509_24,144,109,5,28,False,73,36,1,509,,True
1118_272_40_24,103,71,5,30,False,60,30,0,272,,True
1119_953_187_40,115,83,5,30,False,52,26,0,187,,True
111_764_929_4,123,93,5,29,False,64,32,0,929,,True
1120_683_1254_0,99,69,5,28,False,55,27,1,683,,True
1121_782_509_0,109,79,5,28,False,59,29,1,782,,True
1122_783_488_12,110,80,5,29,False,61,30,1,783,,True
1123_668_548_12,109,77,5,26,False,48,24,0,548,below_floor,False
1124_271_617_30,119,89,5,27,False,64,32,0,271,,True
1125_683_272_30,104,74,5,29,False,48,24,0,272,below_floor,False
1126_324_151_40,100,70,5,29,False,43,21,1,151,below_floor,False
1127_220_221_35,117,86,5,25,False,65,32,1,221,,True
1128_1253_1026_29,100,67,5,30,False,51,25,1,1253,,True
1129_398_399_29,115,83,5,29,False,67,33,1,399,,True
112_373_758_38,120,89,5,30,False,64,32,0,373,,True
1130_260_1040_20,111,81,5,28,False,64,32,0,260,,True
1131_489_92_12,122,91,5,29,False,64,32,0,92,,True
1132_227_228_12,159,129,5,30,False,89,44,1,228,,True
1133_994_488_0,97,67,5,29,False,46,23,0,488,below_floor,False
1134_1040_489_9,111,80,5,30,False,58,29,0,1040,,True
1135_0_1_8,104,71,5,28,False,50,25,0,0,,True
1136_994_303_39,108,78,5,27,False,60,30,0,303,,True
1137_900_1032_39,115,85,5,28,False,72,36,0,1032,,True
1138_488_489_33,123,91,5,29,False,58,29,0,488,,True
1139_1483_934_55,126,96,5,30,False,71,35,1,934,,True
113_1268_644_6,112,82,5,30,False,49,24,1,1268,below_floor,False
1140_319_303_30,100,70,5,30,False,62,31,0,303,,True
1141_848_303_59,97,67,5,28,False,62,31,0,303,,True
1142_934_617_30,113,83,5,30,False,68,34,0,617,,True
1143_303_0_44,108,73,5,22,False,59,29,1,0,,True
1144_994_617_55,118,87,5,30,False,58,29,0,617,,True
1145_303_934_9,110,79,5,30,False,68,34,0,303,,True
1146_848_668_30,95,65,5,28,False,54,27,0,848,,True
1147_934_363_1,115,85,5,30,False,76,38,0,934,,True
1148_994_668_5,101,70,5,28,False,56,28,0,668,,True
1149_9_1548_7,110,80,5,28,False,55,27,1,9,,True
114_1094_373_6,139,109,5,30,False,74,37,0,373,,True
1150_734_492_42,166,135,5,30,False,86,43,0,492,,True
1151_363_488_58,106,76,5,29,False,53,26,1,488,,True
1152_1133_778_46,109,79,5,30,False,48,24,0,778,below_floor,False
1153_934_639_52,110,79,5,30,False,61,30,1,639,,True
1154_363_364_52,114,84,5,27,False,54,27,0,364,,True
1155_1512_1513_2,120,89,5,30,False,61,30,1,1513,,True
1156_1510_1511_2,101,71,5,28,False,48,24,0,1510,below_floor,False
1157_311_668_39,115,85,5,28,False,62,31,0,668,,True
1158_637_777_39,114,81,5,30,False,61,30,1,777,,True
1159_291_1237_35,127,96,5,28,False,61,30,1,1237,,True
115_831_581_22,153,120,5,29,False,88,44,0,581,,True
1160_119_539_57,129,99,5,28,False,71,35,1,539,,True
1161_976_1039_30,113,83,5,23,False,57,28,1,1039,,True
1162_119_291_30,157,125,5,29,False,82,41,0,119,,True
1163_515_1074_35,129,97,5,26,False,70,35,0,515,,True
1164_119_646_35,157,127,5,30,False,86,43,0,119,,True
1165_267_119_42,119,88,5,28,False,62,31,0,119,,True
1166_251_407_29,116,86,5,30,False,62,31,0,407,,True
1167_1210_364_10,98,68,5,28,False,46,23,0,364,below_floor,False
1168_1472_1473_22,94,50,5,22,False,40,20,0,1473,below_floor,False
1169_1218_69_28,101,70,5,28,False,56,28,0,1218,,True
116_533_373_38,133,103,5,30,False,81,40,1,373,,True
1170_1218_342_19,103,73,5,30,False,58,29,0,1218,,True
1171_224_246_58,124,93,5,27,False,66,33,0,246,,True
1172_906_1218_0,104,74,5,30,False,53,26,1,1218,,True
1173_342_1016_58,115,85,5,30,False,58,29,0,342,,True
1174_867_377_0,133,102,5,26,False,61,30,1,377,,True
1175_352_1375_55,97,67,5,27,False,50,25,0,1375,,True
1176_1218_659_0,108,77,5,29,False,58,29,0,1218,,True
1177_69_280_19,142,110,5,29,False,74,37,0,280,,True
1178_246_1030_0,122,89,5,30,False,62,31,0,246,,True
1179_1528_1529_47,83,51,5,13,False,43,21,1,1529,below_floor,False
117_854_3_38,154,122,5,29,False,93,46,1,3,,True
1180_234_787_47,100,68,5,30,False,48,24,0,234,below_floor,False
1181_69_377_47,112,80,5,30,False,56,28,0,377,,True
1182_3_130_23,103,72,5,29,False,53,26,1,3,,True
1183_787_1097_23,112,81,5,29,False,50,25,0,1097,,True
1184_20_840_18,115,73,5,27,False,52,26,0,840,,True
1185_839_1420_3,116,86,5,28,False,54,27,0,1420,,True
1186_245_246_51,115,85,5,30,False,57,28,1,246,,True
1187_787_991_3,103,71,5,30,False,46,23,0,991,below_floor,False
1188_633_867_53,175,109,5,27,True,78,39,0,867,score_anomaly,False
1189_3_522_14,111,81,5,30,False,61,30,1,522,,True
118_854_533_58,125,95,5,30,False,75,37,1,854,,True
1190_787_2_14,100,70,5,30,False,48,24,0,2,below_floor,False
1191_3_579_14,116,86,5,28,False,59,29,1,3,,True
1192_991_839_20,117,85,5,28,False,65,32,1,839,,True
1193_69_867_23,124,93,5,28,False,51,25,1,69,,True
1194_110_1192_23,156,126,5,30,False,82,41,0,110,,True
1195_21_1400_36,115,80,5,29,False,53,26,1,21,,True
1196_442_1178_56,120,88,5,28,False,67,33,1,442,,True
1197_527_1091_56,112,82,5,30,False,59,29,1,1091,,True
1198_787_405_32,98,63,5,29,False,42,21,0,405,below_floor,False
1199_867_291_23,128,94,5,30,False,62,31,0,291,,True
119_1300_1140_58,118,86,5,30,False,71,35,1,1300,,True
11_219_1058_33,106,74,5,30,False,56,28,0,219,,True
1200_1337_1317_0,136,105,5,30,False,82,41,0,1317,,True
1201_1052_1053_53,115,84,5,30,False,60,30,0,1052,,True
1202_405_21_0,104,73,5,26,False,55,27,1,21,,True
1203_1081_527_29,100,70,5,27,False,44,22,0,1081,below_floor,False
1204_688_689_14,115,82,5,29,False,57,28,1,688,,True
1205_1317_21_53,205,162,5,28,False,122,61,0,21,,True
1206_130_51_23,135,91,5,30,False,72,36,0,130,,True
1207_991_442_56,170,123,5,27,False,77,38,1,991,,True
1208_1081_837_56,113,75,5,27,False,54,27,0,1081,,True
1209_1286_449_34,119,77,5,28,False,56,28,0,1286,,True
120_1079_695_58,125,93,5,29,False,62,31,0,1079,,True
1210_127_128_58,126,95,5,28,False,62,31,0,127,,True
1211_436_1283_58,118,86,5,28,False,56,28,0,436,,True
1212_1081_301_10,87,57,5,27,False,46,23,0,1081,below_floor,False
1213_1317_449_10,117,86,5,30,False,72,36,0,1317,,True
1214_216_528_10,143,99,5,30,False,64,32,0,216,,True
1215_991_128_10,154,113,5,30,False,81,40,1,128,,True
1216_159_130_40,165,121,5,29,False,81,40,1,130,,True
1217_143_144_15,109,78,5,27,False,50,25,0,144,,True
1218_226_742_7,147,111,5,30,False,85,42,1,226,,True
1219_529_20_33,107,77,5,30,False,67,33,1,20,,True
121_685_587_8,86,55,5,27,False,29,14,1,587,below_floor,False
1220_709_546_53,105,75,5,27,False,48,24,0,546,below_floor,False
1221_216_217_53,113,79,5,28,False,61,30,1,217,,True
1222_20_21_53,115,84,5,28,False,64,32,0,21,,True
1223_741_742_59,102,72,5,30,False,55,27,1,741,,True
1224_85_130_19,101,71,5,30,False,50,25,0,85,,True
1225_1370_217_17,109,79,5,30,False,54,27,0,217,,True
1226_20_436_10,115,85,5,29,False,62,31,0,20,,True
1227_742_85_16,104,74,5,30,False,49,24,1,85,below_floor,False
1228_1134_1545_46,137,107,5,29,False,80,40,0,1134,,True
1229_217_20_54,124,89,5,28,False,67,33,1,20,,True
122_1438_884_20,116,83,5,24,False,53,26,1,1438,,True
1230_557_1247_42,121,88,5,30,False,66,33,0,1247,,True
1231_1437_1026_23,89,57,5,27,False,43,21,1,1437,below_floor,False
1232_442_1134_10,120,88,5,27,False,65,32,1,442,,True
1233_1346_1549_46,110,78,5,30,False,61,30,1,1549,,True
1234_589_896_5,125,91,5,28,False,64,32,0,589,,True
1235_557_742_48,122,92,5,30,False,75,37,1,742,,True
1236_556_636_56,115,82,5,29,False,64,32,0,556,,True
1237_709_1134_46,106,76,5,28,False,55,27,1,1134,,True
1238_556_557_25,109,78,5,30,False,50,25,0,557,,True
1239_1051_648_25,103,70,5,29,False,49,24,1,1051,below_floor,False
123_1117_723_52,101,71,5,29,False,53,26,1,723,,True
1240_14_15_25,102,72,5,30,False,53,26,1,14,,True
1241_49_1370_8,100,70,5,28,False,48,24,0,49,below_floor,False
1242_37_38_36,100,70,5,30,False,54,27,0,38,,True
1243_556_1370_36,101,71,5,30,False,50,25,0,1370,,True
1244_769_770_36,152,120,5,30,False,80,40,0,769,,True
1245_896_179_46,112,82,5,28,False,46,23,0,179,below_floor,False
1246_1134_38_34,121,89,5,30,False,67,33,1,38,,True
1247_564_1234_34,111,79,5,30,False,57,28,1,564,,True
1248_557_482_36,143,112,5,29,False,72,36,0,557,,True
1249_556_678_34,112,82,5,30,False,54,27,0,556,,True
124_86_87_13,103,73,5,30,False,54,27,0,86,,True
1250_1134_896_34,119,89,5,30,False,58,29,0,1134,,True
1251_81_441_2,106,75,5,30,False,54,27,0,81,,True
1252_1134_557_60,115,84,5,30,False,59,29,1,557,,True
1253_1508_310_31,100,69,5,30,False,44,22,0,1508,below_floor,False
1254_327_328_7,128,98,5,29,False,80,40,0,327,,True
1255_777_525_35,122,92,5,30,False,65,32,1,525,,True
1256_1308_1168_52,132,102,5,28,False,70,35,0,1308,,True
1257_1052_327_44,149,111,5,26,False,85,42,1,327,,True
1258_413_525_58,113,83,5,28,False,60,30,0,413,,True
1259_310_311_8,113,83,5,30,False,62,31,0,311,,True
125_533_723_58,107,77,5,29,False,64,32,0,533,,True
1260_1159_769_2,126,96,5,28,False,64,32,0,1159,,True
1261_525_271_15,106,76,5,29,False,53,26,1,271,,True
1262_1519_1520_42,112,79,5,30,False,48,24,0,1519,below_floor,False
1263_1465_107_42,104,74,5,30,False,58,29,0,107,,True
1264_769_636_42,123,93,5,30,False,61,30,1,636,,True
1265_327_271_51,111,81,5,24,False,54,27,0,271,,True
1266_333_1061_12,125,95,5,29,False,65,32,1,1061,,True
1267_1237_525_56,111,80,5,29,False,60,30,0,525,,True
1268_780_459_43,110,79,5,30,False,60,30,0,780,,True
1269_1106_271_26,120,89,5,28,False,60,30,0,271,,True
126_85_617_58,103,73,5,27,False,48,24,0,85,below_floor,False
1270_459_271_59,118,87,5,23,False,64,32,0,271,,True
1271_327_1317_43,116,85,5,30,False,63,31,1,1317,,True
1272_636_333_43,115,85,5,30,False,59,29,1,636,,True
1273_197_590_51,107,77,5,29,False,52,26,0,590,,True
1274_271_636_19,163,128,5,28,False,83,41,1,636,,True
1275_333_320_51,110,80,5,26,False,58,29,0,333,,True
1276_1405_1406_16,108,76,5,28,False,56,28,0,1406,,True
1277_1177_940_7,123,88,5,30,False,56,28,0,1177,,True
1278_333_143_1,129,90,5,30,False,60,30,0,333,,True
1279_320_257_7,112,80,5,28,False,57,28,1,320,,True
127_721_474_5,140,109,5,29,False,73,36,1,474,,True
1280_327_664_51,153,117,5,30,False,88,44,0,327,,True
1281_454_258_5,116,85,5,27,False,61,30,1,454,,True
1282_143_1304_5,130,100,5,28,False,65,32,1,143,,True
1283_957_983_5,137,106,5,26,False,76,38,0,983,,True
1284_320_321_21,102,72,5,24,False,48,24,0,320,below_floor,False
1285_1044_1045_21,101,71,5,30,False,52,26,0,1044,,True
1286_333_198_5,114,83,5,28,False,62,31,0,333,,True
1287_197_101_16,133,95,5,28,False,70,35,0,197,,True
1288_957_1044_16,122,89,5,29,False,64,32,0,957,,True
1289_983_198_0,124,92,5,28,False,62,31,0,983,,True
128_1204_915_2,138,108,5,28,False,70,35,0,915,,True
1290_243_244_54,152,122,5,30,False,86,43,0,243,,True
1291_64_1332_54,118,87,5,28,False,68,34,0,64,,True
1292_96_242_20,111,79,5,27,False,50,25,0,242,,True
1293_780_783_26,105,74,5,29,False,58,29,0,780,,True
1294_636_637_21,120,85,5,29,False,65,32,1,636,,True
1295_957_197_22,117,85,5,28,False,57,28,1,197,,True
1296_186_96_24,138,104,5,30,False,60,30,0,96,,True
1297_1050_1211_45,149,119,5,30,False,77,38,1,1211,,True
1298_780_64_24,103,73,5,28,False,52,26,0,780,,True
1299_783_668_24,97,67,5,28,False,43,21,1,783,below_floor,False
129_915_1140_2,117,87,5,28,False,57,28,1,915,,True
12_1489_679_13,109,79,5,30,False,64,32,0,1489,,True
1300_197_637_24,129,99,5,28,False,71,35,1,637,,True
1301_1497_780_21,108,77,5,28,False,64,32,0,780,,True
1302_243_783_21,115,85,5,30,False,58,29,0,783,,True
1303_197_198_52,147,107,5,26,False,79,39,1,197,,True
1304_753_1050_35,154,123,5,29,False,80,40,0,1050,,True
1305_647_1211_43,113,82,5,29,False,58,29,0,1211,,True
1306_779_865_43,117,84,5,30,False,55,27,1,865,,True
1307_403_505_48,103,73,5,28,False,57,28,1,505,,True
1308_419_1050_14,137,105,5,29,False,67,33,1,419,,True
1309_74_75_41,131,99,5,28,False,82,41,0,75,,True
130_597_970_42,122,90,5,29,False,58,29,0,970,,True
1310_419_865_35,106,76,5,29,False,55,27,1,419,,True
1311_779_780_41,125,94,5,29,False,66,33,0,780,,True
1312_735_909_44,140,108,5,29,False,83,41,1,909,,True
1313_382_244_49,159,126,5,30,False,94,47,0,244,,True
1314_1048_845_44,149,119,5,29,False,71,35,1,1048,,True
1315_338_779_47,116,86,5,30,False,64,32,0,779,,True
1316_383_865_27,103,73,5,30,False,53,26,1,865,,True
1317_865_244_27,162,116,5,30,False,81,40,1,244,,True
1318_456_1048_16,138,105,5,30,False,74,37,0,1048,,True
1319_252_740_36,140,105,5,29,False,64,32,0,252,,True
131_533_915_53,128,98,5,28,False,72,36,0,915,,True
1320_735_382_27,124,94,5,30,False,67,33,1,382,,True
1321_779_186_27,149,117,5,29,False,79,39,1,186,,True
1322_865_1048_52,110,80,5,30,False,61,30,1,865,,True
1323_252_1141_27,135,99,5,29,False,73,36,1,252,,True
1324_740_957_27,131,98,5,26,False,75,37,1,740,,True
1325_1048_501_21,120,88,5,28,False,66,33,0,1048,,True
1326_272_782_15,117,86,5,27,False,58,29,0,272,,True
1327_735_779_21,115,85,5,28,False,63,31,1,779,,True
1328_988_989_14,121,91,5,29,False,61,30,1,988,,True
1329_740_980_14,112,82,5,25,False,54,27,0,980,,True
132_834_122_30,99,69,5,28,False,47,23,1,834,below_floor,False
1330_1048_957_5,123,88,5,28,False,67,33,1,957,,True
1331_501_782_14,138,103,5,23,False,79,39,1,782,,True
1332_272_735_51,113,82,5,28,False,54,27,0,272,,True
1333_740_1153_54,95,61,5,22,False,45,22,1,740,below_floor,False
1334_735_980_12,114,82,5,30,False,60,30,0,980,,True
1335_740_845_12,123,93,5,30,False,61,30,1,740,,True
1336_460_673_12,133,103,5,27,False,78,39,0,673,,True
1337_252_782_15,140,105,5,28,False,71,35,1,782,,True
1338_1131_461_59,105,75,5,30,False,63,31,1,461,,True
1339_845_980_41,106,76,5,27,False,47,23,1,845,below_floor,False
133_774_775_28,118,87,5,27,False,61,30,1,774,,True
1340_100_673_19,148,103,5,31,True,63,31,1,100,score_anomaly,False
1341_501_845_53,123,88,5,30,False,67,33,1,845,,True
1342_1040_1274_39,114,84,5,28,False,60,30,0,1274,,True
1343_460_461_25,154,115,5,29,False,76,38,0,460,,True
1344_266_398_12,108,78,5,29,False,57,28,1,266,,True
1345_459_1274_51,135,94,5,28,False,60,30,0,1274,,True
1346_637_1346_52,113,82,5,29,False,62,31,0,637,,True
1347_435_646_56,119,89,5,28,False,66,33,0,646,,True
1348_88_118_47,98,68,5,28,False,44,22,0,88,below_floor,False
1349_639_89_32,107,77,5,29,False,54,27,0,89,,True
134_784_785_48,124,90,5,27,False,59,29,1,784,,True
1350_877_1066_32,109,79,5,30,False,50,25,0,1066,,True
1351_906_234_23,114,84,5,30,False,55,27,1,234,,True
1352_444_546_0,100,69,5,30,False,55,27,1,444,,True
1353_66_67_0,98,65,5,25,False,44,22,0,67,below_floor,False
1354_356_50_0,138,105,5,30,False,76,38,0,356,,True
1355_637_812_1,136,105,5,26,False,74,37,0,812,,True
1356_1039_546_31,103,73,5,30,False,57,28,1,1039,,True
1357_421_422_54,131,101,5,30,False,73,36,1,421,,True
1358_1290_332_58,110,79,5,29,False,64,32,0,332,,True
1359_548_364_41,100,70,5,26,False,48,24,0,548,below_floor,False
135_1204_581_2,138,105,5,29,False,76,38,0,581,,True
1360_778_792_50,117,87,5,29,False,57,28,1,778,,True
1361_262_1429_38,107,77,5,27,False,60,30,0,1429,,True
1362_1290_837_9,110,79,5,28,False,59,29,1,1290,,True
1363_777_778_8,108,78,5,30,False,50,25,0,777,,True
1364_903_311_25,106,76,5,29,False,56,28,0,903,,True
1365_1290_1259_25,104,74,5,28,False,56,28,0,1290,,True
1366_177_178_5,89,59,5,26,False,48,24,0,178,below_floor,False
1367_978_1290_44,104,74,5,28,False,54,27,0,1290,,True
1368_933_1239_54,104,73,5,28,False,45,22,1,1239,below_floor,False
1369_118_683_32,108,78,5,28,False,48,24,0,683,below_floor,False
136_1416_299_29,121,91,5,29,False,64,32,0,299,,True
1370_690_691_46,143,112,5,28,False,61,30,1,691,,True
1371_1126_441_7,174,125,5,28,False,81,40,1,1126,,True
1372_159_81_53,117,81,5,30,False,56,28,0,159,,True
1373_1346_443_1,86,55,5,28,False,44,22,0,443,below_floor,False
1374_707_1394_10,108,76,5,29,False,61,30,1,707,,True
1375_413_539_8,120,88,5,30,False,65,32,1,539,,True
1376_1399_1023_8,108,78,5,30,False,49,24,1,1023,below_floor,False
1377_483_81_8,106,75,5,29,False,47,23,1,81,below_floor,False
1378_173_666_0,110,74,5,29,False,55,27,1,173,,True
1379_441_442_0,149,115,5,28,False,81,40,1,441,,True
137_506_1204_46,120,84,5,30,False,69,34,1,1204,,True
1380_157_177_58,92,62,5,25,False,50,25,0,157,,True
1381_1066_483_0,101,70,5,28,False,49,24,1,483,below_floor,False
1382_173_352_12,100,70,5,28,False,54,27,0,173,,True
1383_177_66_4,114,80,5,24,False,59,29,1,66,,True
1384_1066_81_34,112,80,5,28,False,57,28,1,1066,,True
1385_50_869_41,149,119,5,28,False,78,39,0,869,,True
1386_1066_435_6,120,86,5,22,False,62,31,0,1066,,True
1387_1360_1189_42,114,84,5,29,False,54,27,0,1189,,True
1388_1072_1087_6,125,95,5,30,False,73,36,1,1072,,True
1389_407_159_29,112,82,5,30,False,56,28,0,159,,True
138_112_1180_29,104,73,5,30,False,50,25,0,112,,True
1390_177_350_6,121,89,5,28,False,64,32,0,177,,True
1391_425_869_43,164,128,5,28,False,91,45,1,425,,True
1392_901_920_58,106,71,5,30,False,55,27,1,901,,True
1393_50_424_29,149,110,5,30,False,80,40,0,424,,True
1394_80_81_29,121,84,5,30,False,58,29,0,80,,True
1395_1087_177_9,139,99,5,27,False,78,39,0,1087,,True
1396_550_839_15,142,106,5,30,False,78,39,0,550,,True
1397_1408_1409_50,116,85,5,30,False,58,29,0,1409,,True
1398_1352_1353_16,114,83,5,27,False,56,28,0,1352,,True
1399_413_920_20,106,76,5,30,False,51,25,1,920,,True
139_653_1093_51,114,84,5,30,False,60,30,0,653,,True
13_219_191_1,118,88,5,30,False,61,30,1,191,,True
1400_1450_1451_48,107,76,5,30,False,54,27,0,1451,,True
